,"2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
,"Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)","Population using safely managed drinking-water services (%)"
"Countries, territories and areas","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total","Total"
"Afghanistan","30","29","28","27","27","26","25","24","23","22","21","20","19","18","17","17","16","15","14","13","12","11","11"
"Albania","71","71","71","71","71","71","71","71","71","68","66","64","62","60","58","56","54","53","51","49","49","49","49"
"Algeria","71","71","72","74","75","76","76","77","77","76","76","75","75","75","74","74","73","73","72","72","71","71","70"
"Andorra","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91","91"
"Angola","","","","","","","","","","","","","","","","","","","","","","",""
"Antigua and Barbuda","","","","","","","","","","","","","","","","","","","","","","",""
"Argentina","","","","","","","","","","","","","","","","","","","","","","",""
"Armenia","82","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","83","82","82"
"Australia","","","","","","","","","","","","","","","","","","","","","","",""
"Austria","99","99","99","99","99","99","99","99","99","99","99","99","98","98","98","98","98","98","97","97","97","97","97"
"Azerbaijan","72","71","71","70","70","69","68","68","67","67","66","66","65","64","64","63","63","62","61","61","60","59","58"
"Bahamas","","","","","","","","","","","","","","","","","","","","","","",""
"Bahrain","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99","99"
"Bangladesh","59","59","59","58","58","57","57","56","56","56","55","55","55","55","55","55","55","55","55","55","55","55","55"
"Barbados","","","","","","","","","","","","","","","","","","","","","","",""
"Belarus","93","93","93","93","93","93","93","92","92","92","92","91","90","89","88","87","86","84","83","82","82","82","82"
"Belgium","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Belize","","","","","","","","","","","","","","","","","","","","","","",""
"Benin","","","","","","","","","","","","","","","","","","","","","","",""
"Bhutan","73","73","69","65","61","57","52","47","43","38","34","30","26","26","26","25","25","25","24","24","23","23","22"
"Bolivia (Plurinational State of)","","","","","","","","","","","","","","","","","","","","","","",""
"Bosnia and Herzegovina","87","88","88","89","89","89","89","89","89","89","89","89","89","88","88","88","88","88","88","88","88","87","87"
"Botswana","","","","","","","","","","","","","","","","","","","","","","",""
"Brazil","87","87","86","85","84","84","83","82","81","80","80","79","79","79","79","78","78","78","78","77","77","77","76"
"Brunei Darussalam","","","","","","","","","","","","","","","","","","","","","","",""
"Bulgaria","96","96","96","96","96","96","97","97","97","96","96","95","95","94","94","93","93","92","92","91","91","90","90"
"Burkina Faso","","","","","","","","","","","","","","","","","","","","","","",""
"Burundi","","","","","","","","","","","","","","","","","","","","","","",""
"Cote d'Ivoire","44","44","44","42","40","39","37","35","33","32","29","25","25","25","24","24","24","24","24","24","24","24","23"
"Cabo Verde","","","","","","","","","","","","","","","","","","","","","","",""
"Cambodia","29","28","28","27","27","26","26","25","24","24","23","23","22","21","21","20","20","19","19","18","18","17","17"
"Cameroon","","","","","","","","","","","","","","","","","","","","","","",""
"Canada","99","99","99","99","99","99","99","99","99","99","99","99","99","98","98","98","98","98","98","98","98","98","98"
"Central African Republic","6","6","6","6","6","6","7","7","7","7","7","7","7","7","7","8","8","8","8","8","8","8","9"
"Chad","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6","6"
"Chile","99","99","99","99","99","99","99","98","98","98","97","97","96","96","96","95","95","94","94","93","93","93","92"
"China","","","","","","","","","","","","","","","","","","","","","","",""
"Colombia","74","74","73","73","73","73","73","73","72","72","72","72","71","71","71","71","70","70","70","69","69","69","69"
"Comoros","","","","","","","","","","","","","","","","","","","","","","",""
"Congo","","46","46","46","46","45","45","44","44","43","42","41","40","38","36","35","33","31","30","28","28","28","27"
"Cook Islands","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","81","81","81","81","81","80","80","80","80","80","80","79","79","79","79","79","78","78","78","77","77","77","76"
"Croatia","","","","","","","","","","","","","","","","85","85","85","85","85","85","85","85"
"Cuba","","","","","","","","","","","","","","","","","","","","","","",""
"Cyprus","100","100","100","100","100","99","99","99","99","98","98","98","98","97","97","97","97","96","96","96","96","96","96"
"Czechia","98","98","98","98","98","98","98","98","98","98","98","98","97","97","97","97","97","97","97","97","96","96","96"
"Democratic People's Republic of Korea","67","66","66","66","66","67","67","67","67","67","67","68","68","68","68","68","69","69","69","69","69","69","69"
"Democratic Republic of the Congo","12","11","11","11","11","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12","12"
"Denmark","100","100","100","100","100","100","99","99","98","98","98","97","97","96","96","96","95","95","94","94","94","94","94"
"Djibouti","","","","","","","","","","","","","","","","","","","","","","",""
"Dominica","","","","","","","","","","","","","","","","","","","","","","",""
"Dominican Republic","45","45","45","45","45","44","44","44","44","44","44","44","44","43","43","43","43","43","43","42","42","42","42"
"Ecuador","67","67","67","67","66","66","66","65","65","64","64","64","63","63","62","62","61","61","60","60","59","59","58"
"Egypt","","","","","","","","","","","","","","","","","","","","","","",""
"El Salvador","","","","","","","","","","","","","","","","","","","","","","",""
"Equatorial Guinea","","","","","","","","","","","","","","","","","","","","","","",""
"Eritrea","","","","","","","","","","","","","","","","","","","","","","",""
"Estonia","97","97","97","97","97","97","97","97","97","96","96","96","95","95","94","94","94","93","93","93","92","92","92"
"Eswatini","","","","","","","","","","","","","","","","","","","","","","",""
"Ethiopia","13","13","12","12","11","11","10","10","9","9","9","8","8","7","7","7","6","6","6","6","6","5","5"
"Fiji","42","42","42","41","41","41","41","41","41","41","41","40","40","40","40","40","40","40","40","40","39","39","39"
"Finland","100","100","100","100","100","100","100","100","99","99","99","98","98","97","97","97","96","96","95","95","95","94","94"
"France","100","100","100","99","99","99","99","99","99","99","98","98","98","98","98","98","98","98","97","97","97","97","97"
"Gabon","","","","","","","","","","","","","","","","","","","","","","",""
"Gambia","48","47","46","46","45","45","44","42","41","39","38","36","35","34","32","31","30","28","27","26","24","23","22"
"Georgia","69","69","69","68","68","68","68","67","67","67","67","66","66","66","66","65","65","65","65","64","64","64","64"
"Germany","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100"
"Ghana","44","44","42","40","39","37","35","33","32","30","28","26","25","23","22","20","19","17","16","14","13","12","12"
